,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
c_over_delta,3.63215,0.0397517,3.01407,1.9258,0.859879,2.74628,9.33475,6016.84,5028.73,0.297265,1.00016
h_over_delta,9.34975,0.0826479,5.8107,4.61006,2.75927,7.998,20.2491,4464.5,4058.15,0.220571,1.00048
log_lik[1],-2.71373,0.0121368,0.94725,0.88176,-4.49477,-2.56825,-1.44533,5405.67,4041.29,0.26707,1.00141
log_lik[2],-2.53098,0.00691478,0.555111,0.47503,-3.56879,-2.43075,-1.80761,6556.28,6110.43,0.323916,1.0008
log_lik[3],-1.63708,0.00449391,0.318953,0.294731,-2.19433,-1.61089,-1.17045,5445.61,5736.32,0.269043,1.0007
log_lik[4],-2.02255,0.00546028,0.411924,0.358844,-2.77876,-1.96543,-1.45734,6016.3,6544.18,0.297238,1.00077
log_lik[5],-2.71373,0.0121368,0.94725,0.88176,-4.49477,-2.56825,-1.44533,5405.67,4041.29,0.26707,1.00141
log_lik[6],-1.99027,0.00377966,0.293385,0.281469,-2.49998,-1.97748,-1.53229,6032.79,5769.18,0.298053,1.00033
log_lik[7],-1.22904,0.00323193,0.223237,0.22407,-1.61258,-1.21718,-0.883565,5110.58,4406.59,0.252491,1.00055
log_lik[8],-2.09656,0.00386885,0.311489,0.293639,-2.63916,-2.07659,-1.61953,6383.51,6077.04,0.31538,1.00038
log_lik[9],-1.26926,0.00337133,0.229783,0.231638,-1.66053,-1.25676,-0.907532,4907.81,4368.54,0.242473,1.00058
log_lik[10],-1.84331,0.00369683,0.272575,0.268654,-2.30188,-1.83681,-1.41024,5447.06,5968.27,0.269114,0.999922
log_lik[11],-1.24127,0.00326431,0.227745,0.227108,-1.63569,-1.22907,-0.884328,5189.98,4259.44,0.256413,1.00057
log_lik[12],-1.20684,0.00262205,0.19268,0.189864,-1.54588,-1.19502,-0.916099,5923.46,4341.04,0.292651,1.0002
log_lik[13],-1.27771,0.0033602,0.234961,0.237262,-1.68012,-1.26604,-0.906724,5158.07,4301.44,0.254837,1.0005
log_lik[14],-1.20614,0.00303304,0.214289,0.211059,-1.58334,-1.19442,-0.877628,5405.23,4301.45,0.267048,1.00047
log_lik[15],-1.20191,0.00270434,0.196951,0.1932,-1.54852,-1.18884,-0.903426,5803.67,4374.31,0.286733,1.0002
log_lik[16],-1.20315,0.00299176,0.211694,0.209904,-1.57071,-1.1926,-0.877157,5432.01,4319.34,0.268371,1.0008
log_lik[17],-1.19513,0.0028752,0.204649,0.200436,-1.54727,-1.18416,-0.879489,5539.15,4116.28,0.273664,1.00066
log_lik[18],-1.21367,0.0030525,0.215614,0.214691,-1.59033,-1.20225,-0.880351,5388.72,4202.68,0.266232,1.00085
log_lik[19],-1.19504,0.00282525,0.201763,0.197095,-1.54454,-1.18276,-0.884258,5573.38,3993.13,0.275356,1.00051
log_lik[20],-1.19487,0.00284553,0.202927,0.198091,-1.54505,-1.18326,-0.881815,5559.73,4089.66,0.274681,1.00058
log_lik[21],-0.25464,0.0041574,0.359715,0.31806,-0.937039,-0.190599,0.20907,8333.76,7309.09,0.411733,1.00029
log_lik[22],-0.20443,0.00401309,0.337683,0.297816,-0.84157,-0.146139,0.232235,7816.64,7158.87,0.386184,1.00039
log_lik[23],-0.135826,0.00381124,0.304446,0.270091,-0.699325,-0.0851459,0.26531,6916.73,6796.63,0.341724,1.00023
log_lik[24],-0.567585,0.00525934,0.480139,0.401156,-1.50273,-0.460293,0.00696785,9347.68,7232.73,0.461827,0.999988
log_lik[25],-0.189201,0.00396886,0.33068,0.292271,-0.810527,-0.132313,0.240179,7644.46,7137.38,0.377678,1.00042
log_lik[26],-0.0333978,0.00317702,0.224779,0.212199,-0.433251,-0.0118629,0.299706,5291.51,5636.5,0.26143,1.00075
log_lik[27],-0.574193,0.00563318,0.465446,0.421832,-1.43579,-0.492203,0.0252539,7426.59,6334.18,0.366914,0.999878
log_lik[28],-0.421982,0.0044746,0.396378,0.336951,-1.18666,-0.347246,0.0805681,7727.93,7560.29,0.381802,1.00022
log_lik[29],-0.0628579,0.00348198,0.248891,0.22637,-0.508779,-0.0333906,0.292468,5387.8,6075.51,0.266187,1.00077
log_lik[30],-0.0420956,0.00331032,0.234227,0.217357,-0.460142,-0.0167707,0.297722,5287.08,5853.01,0.261211,1.00056
log_lik[31],-0.0303121,0.00302214,0.226228,0.212385,-0.438351,-0.00983914,0.30498,6049.81,5612.07,0.298894,1.00026
log_lik[32],-1.41253,0.00883187,0.72956,0.677503,-2.76858,-1.29313,-0.441368,6868.3,7087.03,0.339331,1.00007
log_lik[33],-0.527156,0.00508912,0.430088,0.370174,-1.34892,-0.444647,0.0097434,7122.31,7385.05,0.351881,1.00049
log_lik[34],-0.131706,0.00370668,0.286075,0.256751,-0.665251,-0.0884394,0.259227,6497.53,6588.32,0.321013,1.00017
log_lik[35],-0.0350368,0.00291408,0.217107,0.207019,-0.421267,-0.0174224,0.287313,5849.77,5611.77,0.289011,1.00015
log_lik[36],-1.0978,0.0073109,0.651726,0.592047,-2.3437,-0.982649,-0.249076,7947.76,6685.3,0.392663,0.999724
log_lik[37],-0.27905,0.00415767,0.334835,0.289452,-0.920291,-0.221589,0.158322,7019.93,6550.72,0.346823,0.999804
log_lik[38],-1.07825,0.00722451,0.655296,0.582478,-2.31877,-0.963039,-0.240361,8254.7,6646.7,0.407827,0.999874
log_lik[39],-0.260006,0.0040924,0.32672,0.283669,-0.882823,-0.205792,0.168046,6905.4,6385.94,0.341165,0.99981
log_lik[40],-1.1796,0.00766131,0.682447,0.620954,-2.4855,-1.0616,-0.289491,7903.07,6665.57,0.390455,0.999713
log_lik[41],-0.323491,0.00165863,0.129769,0.122316,-0.560471,-0.304495,-0.148509,7368.23,5026.79,0.364031,1.00034
log_lik[42],-0.323491,0.00165863,0.129769,0.122316,-0.560471,-0.304495,-0.148509,7368.23,5026.79,0.364031,1.00034
log_lik[43],-0.323491,0.00165863,0.129769,0.122316,-0.560471,-0.304495,-0.148509,7368.23,5026.79,0.364031,1.00034
