,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[33],-1.86846,0.00426312,0.355142,0.340534,-2.51429,-1.82454,-1.37247,7241.96,6364.86,0.936091,1.0
log_lik[34],-2.10165,0.00469431,0.400247,0.392082,-2.81452,-2.06456,-1.50921,7477.13,6285.54,0.96649,1.00007
log_lik[35],-2.36009,0.0050705,0.436344,0.432069,-3.12154,-2.32535,-1.69893,7664.53,6471.99,0.990713,1.00014
log_lik[36],-2.64727,0.00880486,0.713615,0.723346,-3.95656,-2.55659,-1.63603,6002.63,5855.84,0.775896,1.00057
log_lik[37],-2.41944,0.00831794,0.680752,0.683832,-3.68464,-2.31927,-1.48745,6008.67,5767.09,0.776678,1.00059
log_lik[38],-1.87511,0.00842799,0.670247,0.707096,-2.98619,-1.86515,-0.799025,6533.16,5978.22,0.844473,1.00076
log_lik[39],-1.87511,0.00842799,0.670247,0.707096,-2.98619,-1.86515,-0.799025,6533.16,5978.22,0.844473,1.00076
log_lik[40],-1.87511,0.00842799,0.670247,0.707096,-2.98619,-1.86515,-0.799025,6533.16,5978.22,0.844473,1.00076
y_rep[1],1.80717,0.0149348,1.32708,1.26458,-0.392097,1.82639,3.95514,8003.01,7969.52,1.03446,1.00009
y_rep[2],1.82313,0.0147447,1.33127,1.2813,-0.4307,1.84418,3.94294,8167.69,7849.01,1.05575,1.00009
y_rep[3],1.81604,0.0155954,1.35148,1.3041,-0.434833,1.84636,3.95148,7521.51,7928.32,0.972225,0.999888
y_rep[4],1.79551,0.0152296,1.34643,1.30316,-0.433375,1.81269,3.95989,7847.73,7852.67,1.01439,0.999962
y_rep[5],1.80481,0.0159332,1.35828,1.28552,-0.479574,1.84124,3.98498,7303.9,7798.59,0.944098,0.999912
y_rep[6],4.11749,0.0151141,1.34571,1.2729,1.88549,4.1381,6.26926,7959.78,7932.3,1.02888,1.00066
y_rep[7],4.12594,0.0155042,1.34537,1.27997,1.86124,4.15782,6.31356,7575.14,7564.72,0.979158,1.00031
y_rep[8],4.11324,0.0152451,1.33596,1.28274,1.88888,4.13729,6.22147,7713.28,7769.9,0.997014,0.999835
y_rep[9],4.12861,0.0155104,1.35105,1.29898,1.9581,4.1233,6.34296,7594.09,7943.18,0.981607,1.00012
y_rep[10],4.12964,0.0149651,1.31873,1.27648,1.95083,4.15738,6.2582,7794.18,7595.52,1.00747,1.00039
y_rep[11],6.28407,0.0147013,1.35067,1.27407,4.0792,6.26228,8.49726,8447.72,7576.2,1.09195,1.00027
y_rep[12],6.32117,0.0157498,1.36678,1.29626,4.15929,6.30598,8.52991,7591.18,7628.06,0.981232,1.00021
y_rep[13],6.29484,0.0152069,1.35285,1.27886,4.14671,6.28379,8.52477,7953.48,7747.81,1.02806,1.00065
y_rep[14],6.30183,0.0154898,1.3667,1.32186,4.11012,6.28071,8.57238,8006.63,7597.29,1.03493,1.00009
y_rep[15],6.28469,0.0154599,1.35073,1.31202,4.09225,6.29939,8.51923,7665.33,7820.77,0.990816,1.00048
y_rep[16],5.70051,0.0149067,1.35693,1.30113,3.52446,5.67164,7.97842,8289.14,8034.68,1.07145,1.00015
y_rep[17],5.68747,0.0147079,1.36613,1.2866,3.45867,5.67749,7.89712,8647.38,7945.25,1.11776,1.0003
y_rep[18],5.68124,0.0157563,1.36326,1.31891,3.43136,5.68251,7.91642,7527.03,7801.48,0.97294,0.999845
y_rep[19],5.67784,0.0149269,1.33517,1.27297,3.48534,5.6782,7.84881,8012.61,7587.21,1.03571,0.999974
y_rep[20],5.69339,0.0150208,1.34907,1.31162,3.49594,5.69173,7.90054,8155.92,7287.84,1.05423,1.00047
y_rep[21],-2.96443,0.0207166,1.81162,1.56828,-5.76425,-2.96133,-0.0872865,7758.42,8013.16,1.00285,1.00012
y_rep[22],-2.98395,0.0196791,1.7935,1.52871,-5.77194,-2.9659,-0.188764,8254.84,8094.45,1.06702,1.00029
y_rep[23],-2.93042,0.0202975,1.82124,1.55989,-5.68833,-2.94418,-0.085659,7997.11,7456.68,1.0337,0.999961
y_rep[24],-2.94713,0.0202021,1.83195,1.53666,-5.83608,-2.95142,-0.0890365,8224.06,7757.85,1.06304,1.00031
y_rep[25],-2.97316,0.019997,1.81277,1.5698,-5.80614,-2.97028,-0.132481,8275.92,7671.73,1.06974,0.999836
y_rep[26],-2.12465,0.0205236,1.80622,1.56397,-4.98015,-2.14189,0.753245,7755.55,8217.87,1.00248,1.0005
y_rep[27],-2.12608,0.0204765,1.83265,1.57164,-4.99975,-2.1071,0.778746,8122.71,7640.14,1.04994,1.0002
y_rep[28],-2.14574,0.0207798,1.84424,1.59128,-4.97421,-2.14596,0.70152,7920.2,7634.71,1.02376,0.999975
y_rep[29],-2.12649,0.0209399,1.84612,1.5844,-5.02453,-2.13775,0.765968,7707.65,7691.05,0.996287,1.00083
y_rep[30],-2.12514,0.0212228,1.86175,1.56691,-4.9124,-2.13195,0.725501,7800.04,7427.63,1.00823,0.999857
y_rep[31],0.200894,0.0200438,1.8039,1.5485,-2.65924,0.220682,3.05762,8100.3,7251.93,1.04704,1.00023
y_rep[32],0.235819,0.0211171,1.83115,1.57307,-2.65495,0.223086,3.11665,7556.4,7610.05,0.976736,1.00019
y_rep[33],0.211114,0.0209009,1.86501,1.57878,-2.74267,0.230409,3.11529,7990.07,7118.31,1.03279,1.00033
y_rep[34],0.203024,0.0209187,1.83495,1.59861,-2.74306,0.207576,3.09332,7723.71,7833.79,0.998362,0.999877
y_rep[35],0.187522,0.020574,1.85185,1.57416,-2.66372,0.201279,3.10098,8039.73,7833.59,1.03921,1.00017
y_rep[36],-0.492875,0.0229677,1.94117,1.68025,-3.47073,-0.51874,2.51761,7035.92,7711.83,0.909459,1.00028
y_rep[37],-0.505968,0.022282,1.95528,1.70817,-3.64042,-0.513162,2.50449,7945.29,7688.01,1.027,0.999907
y_rep[38],-0.498171,0.0219044,1.94262,1.66616,-3.5978,-0.51423,2.52335,7924.4,7925.17,1.0243,1.00033
y_rep[39],-0.509503,0.0221414,1.94398,1.69925,-3.53101,-0.501344,2.49241,7632.86,7558.57,0.986619,0.999897
y_rep[40],-0.488538,0.0225523,1.9255,1.69672,-3.53777,-0.498947,2.5592,7162.07,7848.38,0.925766,0.999793
